conf,value
BerkeleyDB|BerkeleyDB::Hash|0.63|rd|20,43668.1
CDB_File|CDB_File|0.99|rd|20,3010.2
CSV|Tie::Hash::DBD|0.54|rd|20,1335.1
DB_File|DB_File|1.852|rd|20,136986.3
GDBM|GDBM_File|1.18|rd|20,84745.8
MariaDB|Tie::Hash::DBD|1.21|rd|20,7012.6
NDBM|NDBM_File|1.15|rd|20,135135.1
perl|perl|5.030000|rd|20,1000000.0
ODBM|ODBM_File|1.16|rd|20,149253.7
Oracle|Tie::Hash::DBD|1.80|rd|20,10.1
Pg|Tie::Hash::DBD|3.9.1|rd|20,6120.0
Redis|Redis::Hash|1.995|rd|20,5049.2
Redis2|Redis::Hash|1.995|rd|20,7840.1
SDBM|SDBM_File|1.15|rd|20,140845.1
SQLite|Tie::Hash::DBD|1.64|rd|20,33112.6
Unify|Tie::Hash::DBD|0.90|rd|20,2849.8
mysql|Tie::Hash::DBD|4.050|rd|20,7054.7
BerkeleyDB|BerkeleyDB::Hash|0.63|wr|20,2556.2
CDB_File|CDB_File|0.99|wr|20,2803.5
CSV|Tie::Hash::DBD|0.54|wr|20,1199.2
DB_File|DB_File|1.852|wr|20,6927.6
GDBM|GDBM_File|1.18|wr|20,2779.3
MariaDB|Tie::Hash::DBD|1.21|wr|20,2623.0
NDBM|NDBM_File|1.15|wr|20,5291.0
perl|perl|5.030000|wr|20,454545.5
ODBM|ODBM_File|1.16|wr|20,6605.0
Oracle|Tie::Hash::DBD|1.80|wr|20,7.5
Pg|Tie::Hash::DBD|3.9.1|wr|20,1352.4
Redis|Redis::Hash|1.995|wr|20,3873.7
Redis2|Redis::Hash|1.995|wr|20,3199.5
SDBM|SDBM_File|1.15|wr|20,5361.9
SQLite|Tie::Hash::DBD|1.64|wr|20,6483.0
Unify|Tie::Hash::DBD|0.90|wr|20,63.2
mysql|Tie::Hash::DBD|4.050|wr|20,2320.7
BerkeleyDB|BerkeleyDB::Hash|0.63|rd|200,62150.4
CDB_File|CDB_File|0.99|rd|200,38804.8
CSV|Tie::Hash::DBD|0.54|rd|200,226.4
DB_File|DB_File|1.852|rd|200,154559.5
GDBM|GDBM_File|1.18|rd|200,115606.9
MariaDB|Tie::Hash::DBD|1.21|rd|200,2785.6
NDBM|NDBM_File|1.15|rd|200,161812.3
perl|perl|5.030000|rd|200,2597402.6
ODBM|ODBM_File|1.16|rd|200,184842.9
Pg|Tie::Hash::DBD|3.9.1|rd|200,8086.7
Redis|Redis::Hash|1.995|rd|200,9261.0
Redis2|Redis::Hash|1.995|rd|200,10769.5
SDBM|SDBM_File|1.15|rd|200,188857.4
SQLite|Tie::Hash::DBD|1.64|rd|200,70721.4
Unify|Tie::Hash::DBD|0.90|rd|200,3763.2
mysql|Tie::Hash::DBD|4.050|rd|200,2792.8
BerkeleyDB|BerkeleyDB::Hash|0.63|wr|200,20370.7
CDB_File|CDB_File|0.99|wr|200,30988.5
CSV|Tie::Hash::DBD|0.54|wr|200,420.8
DB_File|DB_File|1.852|wr|200,60132.3
GDBM|GDBM_File|1.18|wr|200,22436.6
MariaDB|Tie::Hash::DBD|1.21|wr|200,2249.2
NDBM|NDBM_File|1.15|wr|200,41876.0
perl|perl|5.030000|wr|200,1754386.0
ODBM|ODBM_File|1.16|wr|200,47653.1
Pg|Tie::Hash::DBD|3.9.1|wr|200,3809.9
Redis|Redis::Hash|1.995|wr|200,9523.4
Redis2|Redis::Hash|1.995|wr|200,8667.4
SDBM|SDBM_File|1.15|wr|200,36114.1
SQLite|Tie::Hash::DBD|1.64|wr|200,34922.3
Unify|Tie::Hash::DBD|0.90|wr|200,1863.5
mysql|Tie::Hash::DBD|4.050|wr|200,3177.5
BerkeleyDB|BerkeleyDB::Hash|0.63|rd|600,130975.8
CDB_File|CDB_File|0.99|rd|600,170842.8
DB_File|DB_File|1.852|rd|600,146842.9
GDBM|GDBM_File|1.18|rd|600,241060.7
MariaDB|Tie::Hash::DBD|1.21|rd|600,966.2
NDBM|NDBM_File|1.15|rd|600,201005.0
perl|perl|5.030000|rd|600,3208556.1
ODBM|ODBM_File|1.16|rd|600,182648.4
Pg|Tie::Hash::DBD|3.9.1|rd|600,13709.6
Redis|Redis::Hash|1.995|rd|600,9544.1
Redis2|Redis::Hash|1.995|rd|600,10446.4
SDBM|SDBM_File|1.15|rd|600,138824.6
SQLite|Tie::Hash::DBD|1.64|rd|600,76765.6
Unify|Tie::Hash::DBD|0.90|rd|600,1434.6
mysql|Tie::Hash::DBD|4.050|rd|600,941.4
BerkeleyDB|BerkeleyDB::Hash|0.63|wr|600,74645.4
CDB_File|CDB_File|0.99|wr|600,153413.4
DB_File|DB_File|1.852|wr|600,90456.8
GDBM|GDBM_File|1.18|wr|600,93095.4
MariaDB|Tie::Hash::DBD|1.21|wr|600,1720.3
NDBM|NDBM_File|1.15|wr|600,105263.2
perl|perl|5.030000|wr|600,3045685.3
ODBM|ODBM_File|1.16|wr|600,99634.7
Pg|Tie::Hash::DBD|3.9.1|wr|600,7474.7
Redis|Redis::Hash|1.995|wr|600,10778.6
Redis2|Redis::Hash|1.995|wr|600,9945.5
SDBM|SDBM_File|1.15|wr|600,60655.1
SQLite|Tie::Hash::DBD|1.64|wr|600,45513.2
Unify|Tie::Hash::DBD|0.90|wr|600,1391.1
mysql|Tie::Hash::DBD|4.050|wr|600,1514.4
BerkeleyDB|BerkeleyDB::Hash|0.63|rd|2000,130361.1
CDB_File|CDB_File|0.99|rd|2000,392387.7
DB_File|DB_File|1.852|rd|2000,104145.0
GDBM|GDBM_File|1.18|rd|2000,345602.2
MariaDB|Tie::Hash::DBD|1.21|rd|2000,292.6
NDBM|NDBM_File|1.15|rd|2000,194931.8
perl|perl|5.030000|rd|2000,2789400.3
ODBM|ODBM_File|1.16|rd|2000,159923.2
Pg|Tie::Hash::DBD|3.9.1|rd|2000,14621.2
Redis|Redis::Hash|1.995|rd|2000,9961.4
Redis2|Redis::Hash|1.995|rd|2000,9114.0
SDBM|SDBM_File|1.15|rd|2000,186202.4
SQLite|Tie::Hash::DBD|1.64|rd|2000,54278.5
Unify|Tie::Hash::DBD|0.90|rd|2000,426.4
mysql|Tie::Hash::DBD|4.050|rd|2000,301.4
BerkeleyDB|BerkeleyDB::Hash|0.63|wr|2000,137855.0
CDB_File|CDB_File|0.99|wr|2000,398406.4
DB_File|DB_File|1.852|wr|2000,118927.3
GDBM|GDBM_File|1.18|wr|2000,207749.0
MariaDB|Tie::Hash::DBD|1.21|wr|2000,544.3
NDBM|NDBM_File|1.15|wr|2000,160655.5
perl|perl|5.030000|wr|2000,2466091.2
ODBM|ODBM_File|1.16|wr|2000,135712.8
Pg|Tie::Hash::DBD|3.9.1|wr|2000,8330.3
Redis|Redis::Hash|1.995|wr|2000,11096.7
Redis2|Redis::Hash|1.995|wr|2000,10283.8
SDBM|SDBM_File|1.15|wr|2000,88940.3
SQLite|Tie::Hash::DBD|1.64|wr|2000,48127.8
Unify|Tie::Hash::DBD|0.90|wr|2000,399.1
mysql|Tie::Hash::DBD|4.050|wr|2000,545.7
BerkeleyDB|BerkeleyDB::Hash|0.63|rd|20000,107042.3
CDB_File|CDB_File|0.99|rd|20000,467595.6
DB_File|DB_File|1.852|rd|20000,93756.3
GDBM|GDBM_File|1.18|rd|20000,293927.5
MariaDB|Tie::Hash::DBD|1.21|rd|20000,33.7
NDBM|NDBM_File|1.15|rd|20000,142884.7
perl|perl|5.030000|rd|20000,2099958.0
ODBM|ODBM_File|1.16|rd|20000,140727.1
Pg|Tie::Hash::DBD|3.9.1|rd|20000,13372.0
Redis|Redis::Hash|1.995|rd|20000,9955.8
Redis2|Redis::Hash|1.995|rd|20000,9497.0
SDBM|SDBM_File|1.15|rd|20000,143001.2
SQLite|Tie::Hash::DBD|1.64|rd|20000,58650.2
Unify|Tie::Hash::DBD|0.90|rd|20000,40.2
mysql|Tie::Hash::DBD|4.050|rd|20000,33.5
BerkeleyDB|BerkeleyDB::Hash|0.63|wr|20000,99892.1
CDB_File|CDB_File|0.99|wr|20000,475172.2
DB_File|DB_File|1.852|wr|20000,80096.1
GDBM|GDBM_File|1.18|wr|20000,176113.7
MariaDB|Tie::Hash::DBD|1.21|wr|20000,65.8
NDBM|NDBM_File|1.15|wr|20000,117416.4
perl|perl|5.030000|wr|20000,1637331.2
ODBM|ODBM_File|1.16|wr|20000,112891.7
Pg|Tie::Hash::DBD|3.9.1|wr|20000,8619.8
Redis|Redis::Hash|1.995|wr|20000,11312.8
Redis2|Redis::Hash|1.995|wr|20000,10815.1
SDBM|SDBM_File|1.15|wr|20000,90824.9
SQLite|Tie::Hash::DBD|1.64|wr|20000,31542.2
Unify|Tie::Hash::DBD|0.90|wr|20000,36.8
mysql|Tie::Hash::DBD|4.050|wr|20000,62.7
BerkeleyDB|BerkeleyDB::Hash|0.63|rd|200000,100969.3
CDB_File|CDB_File|0.99|rd|200000,517203.5
DB_File|DB_File|1.852|rd|200000,125612.8
GDBM|GDBM_File|1.18|rd|200000,231590.8
NDBM|NDBM_File|1.15|rd|200000,182709.0
perl|perl|5.030000|rd|200000,932853.2
ODBM|ODBM_File|1.16|rd|200000,150730.0
Pg|Tie::Hash::DBD|3.9.1|rd|200000,15675.1
Redis|Redis::Hash|1.995|rd|200000,8754.8
Redis2|Redis::Hash|1.995|rd|200000,8338.0
SDBM|SDBM_File|1.15|rd|200000,149777.7
SQLite|Tie::Hash::DBD|1.64|rd|200000,51564.3
BerkeleyDB|BerkeleyDB::Hash|0.63|wr|200000,57581.0
CDB_File|CDB_File|0.99|wr|200000,479990.4
DB_File|DB_File|1.852|wr|200000,67914.0
GDBM|GDBM_File|1.18|wr|200000,83750.1
NDBM|NDBM_File|1.15|wr|200000,74397.5
perl|perl|5.030000|wr|200000,686202.9
ODBM|ODBM_File|1.16|wr|200000,67399.2
Pg|Tie::Hash::DBD|3.9.1|wr|200000,8355.4
Redis|Redis::Hash|1.995|wr|200000,9163.3
Redis2|Redis::Hash|1.995|wr|200000,9785.6
SDBM|SDBM_File|1.15|wr|200000,80995.1
SQLite|Tie::Hash::DBD|1.64|wr|200000,43158.4
