method,module,version,direction,size,speed
perl,perl,5.032001,wr,20,952380.952380952380952380952380952
perl,perl,5.032001,rd,20,909090.909090909090909090909090909
perl,perl,5.032001,wr,200,50000000
perl,perl,5.032001,rd,200,15384615.3846153846153846153846154
perl,perl,5.032001,wr,600,35294117.6470588235294117647058823
perl,perl,5.032001,rd,600,9836065.57377049180327868852459016
SQLite,Tie::Array::DBD,1.66,wr,20,163934.426229508196721311475409836
SQLite,Tie::Array::DBD,1.66,rd,20,294117.647058823529411764705882353
SQLite,Tie::Array::DBD,1.66,wr,200,346620.450606585788561525129982669
SQLite,Tie::Array::DBD,1.66,rd,200,366972.477064220183486238532110092
SQLite,Tie::Array::DBD,1.66,wr,600,362976.406533575317604355716878403
SQLite,Tie::Array::DBD,1.66,rd,600,360793.746241731809981960312687913
Pg,Tie::Array::DBD,3.14.2,wr,20,3612.06429474444645114683041358136
Pg,Tie::Array::DBD,3.14.2,rd,20,6025.91141910213919855378125941549
Pg,Tie::Array::DBD,3.14.2,wr,200,13325.3381304550602971550403091478
Pg,Tie::Array::DBD,3.14.2,rd,200,15239.2563242913745809204510819872
Pg,Tie::Array::DBD,3.14.2,wr,600,13926.9300403880971171254816396639
Pg,Tie::Array::DBD,3.14.2,rd,600,15121.348824315128909498727286474
mysql,Tie::Array::DBD,4.050,wr,20,1784.91744756804997768853190539938
mysql,Tie::Array::DBD,4.050,rd,20,6353.24015247776365946632782719187
mysql,Tie::Array::DBD,4.050,wr,200,6754.7029619372488094836029585599
mysql,Tie::Array::DBD,4.050,rd,200,9268.69960144591713782556307350079
mysql,Tie::Array::DBD,4.050,wr,600,18365.4729109274563820018365472911
mysql,Tie::Array::DBD,4.050,rd,600,22443.3305902595945238273359766589
MariaDB,Tie::Array::DBD,1.21,wr,20,2042.4836601307189542483660130719
MariaDB,Tie::Array::DBD,1.21,rd,20,22099.4475138121546961325966850829
MariaDB,Tie::Array::DBD,1.21,wr,200,12655.8248433841675631209264063785
MariaDB,Tie::Array::DBD,1.21,rd,200,19479.8870166553033992402844063504
MariaDB,Tie::Array::DBD,1.21,wr,600,20317.6323185804747553418441637601
MariaDB,Tie::Array::DBD,1.21,rd,600,21754.1060875240201588049744389253
CSV,Tie::Array::DBD,0.58,wr,20,14174.3444365698086463501063075833
CSV,Tie::Array::DBD,0.58,rd,20,5564.83027267668336115748469671675
CSV,Tie::Array::DBD,0.58,wr,200,17714.791851195748449955713020372
CSV,Tie::Array::DBD,0.58,rd,200,1197.57610596153385547651553256209
CSV,Tie::Array::DBD,0.58,wr,600,17768.8275535285930050048864275772
CSV,Tie::Array::DBD,0.58,rd,600,397.845533819191140245192202492767
Oracle,Tie::Array::DBD,1.80,wr,20,22.4884858952216465169833045480714
Oracle,Tie::Array::DBD,1.80,rd,20,14.5879771727333201069006967217898
