  Size op       perl BerkeleyDB      Redis     Redis2  RedisFast RedisFast2     SQLite         Pg      mysql    MariaDB        CSV
------ -- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
    20 rd 10000000.0   350877.2    16339.9    12730.7    23584.9    23612.8   277777.8     9376.5    10498.7    18832.4     5020.1
    20 wr  5000000.0   277777.8     3856.5     6257.8    10010.0    10025.1   238095.2     3194.4     1800.2     2106.1    12476.6
   200 rd 25000000.0   682593.9    20500.2    18367.2    31279.3    31250.0   332778.7    16957.8     8965.4     7682.9      976.3
   200 wr 50000000.0   696864.1    10165.2     8568.6    13894.7    13193.5   335008.4    15146.9     7837.6     5740.7    16392.1
   600 rd 25000000.0   690448.8    22633.8    18490.6    31421.8    31099.4   345025.9    26659.6    11996.2    21213.4      353.5
   600 wr 75000000.0   728155.3    12021.4     9373.8    15857.9    16856.8   332963.4    18007.2    10825.2    14917.2    15041.4
  2000 rd 27027027.0   691085.0    20003.2    17612.5    26046.8    24533.9   371057.5    42619.4    22969.2    21996.2      110.0
  2000 wr 38461538.5   653808.4    11518.9     9491.9    14621.7    15709.8   357206.6    42527.9    23001.5    28891.7    15856.7
 20000 rd 26631158.5   759330.3    17370.2    17195.9    21369.7    20069.1   287567.0    37498.9    21949.3    21211.5          -
 20000 wr 49140049.1   711642.5    10433.2     9509.3    12979.8    13297.1   302535.2    42065.3    29722.6    26703.8          -
200000 rd 25021894.2   504714.0    16725.6    16342.4    21218.2    21473.8   289073.7    35845.4    21422.7    21636.5          -
200000 wr 46168051.7   567710.9     9934.8     9815.3    12414.0    11958.7   287509.2    38918.0    29412.8    28934.3          -
