method,module,version,direction,size,speed
perl,perl,5.032001,wr,20,357142.857142857142857142857142857
perl,perl,5.032001,rd,20,277777.777777777777777777777777778
perl,perl,5.032001,wr,200,628930.817610062893081761006289308
perl,perl,5.032001,rd,200,490196.078431372549019607843137255
perl,perl,5.032001,wr,600,761421.319796954314720812182741117
perl,perl,5.032001,rd,600,557103.064066852367688022284122563
perl,perl,5.032001,wr,2000,756429.652042360060514372163388805
perl,perl,5.032001,rd,2000,548395.941870030161776802851658898
perl,perl,5.032001,wr,20000,1671961.2104999164019394750041799
perl,perl,5.032001,rd,20000,1212341.63787355276716978844638419
perl,perl,5.032001,wr,200000,651669.577457445976592028777728541
perl,perl,5.032001,rd,200000,519155.541596039881528705407783699
GDBM,GDBM_File,1.18,wr,20,9975.06234413965087281795511221945
GDBM,GDBM_File,1.18,rd,20,8371.70364169108413562159899539556
GDBM,GDBM_File,1.18,wr,200,76219.5121951219512195121951219512
GDBM,GDBM_File,1.18,rd,200,61728.3950617283950617283950617284
GDBM,GDBM_File,1.18,wr,600,147275.405007363770250368188512518
GDBM,GDBM_File,1.18,rd,600,118343.195266272189349112426035503
GDBM,GDBM_File,1.18,wr,2000,205549.845837615621788283658787256
GDBM,GDBM_File,1.18,rd,2000,209863.588667366211962224554039874
GDBM,GDBM_File,1.18,wr,20000,153835.503695897976293948880462122
GDBM,GDBM_File,1.18,rd,20000,208201.038923184226689291179562986
GDBM,GDBM_File,1.18,wr,200000,33945.662160210286587950070683355
GDBM,GDBM_File,1.18,rd,200000,162732.208691039069562323588115016
NDBM,NDBM_File,1.15,wr,20,8456.65961945031712473572938689218
NDBM,NDBM_File,1.15,rd,20,8159.93472052223582211342309261526
NDBM,NDBM_File,1.15,wr,200,64184.8523748395378690629011553273
NDBM,NDBM_File,1.15,rd,200,57339.4495412844036697247706422018
NDBM,NDBM_File,1.15,wr,600,133630.289532293986636971046770601
NDBM,NDBM_File,1.15,rd,600,106288.751107174490699734278122232
NDBM,NDBM_File,1.15,wr,2000,175254.118471784086926042762004907
NDBM,NDBM_File,1.15,rd,2000,185477.139942502086617824353148474
NDBM,NDBM_File,1.15,wr,20000,147239.625127914424329875656136579
NDBM,NDBM_File,1.15,rd,20000,170925.561917784804717545508930861
NDBM,NDBM_File,1.15,wr,200000,32383.4144456906661770294402478238
NDBM,NDBM_File,1.15,rd,200000,147225.318043493303456408791707092
ODBM,ODBM_File,1.16,wr,20,2642.70613107822410147991543340381
ODBM,ODBM_File,1.16,rd,20,3645.64345606999635435654393000365
ODBM,ODBM_File,1.16,wr,200,29261.1558156547183613752743233358
ODBM,ODBM_File,1.16,rd,200,34879.6651552145099407045692361353
ODBM,ODBM_File,1.16,wr,600,120457.739409757076892190323228267
ODBM,ODBM_File,1.16,rd,600,113271.663205588068718142344723428
ODBM,ODBM_File,1.16,wr,2000,206334.468172908284328897142267616
ODBM,ODBM_File,1.16,rd,2000,196039.992158400313663987453440502
ODBM,ODBM_File,1.16,wr,20000,141640.050140577749764523416641289
ODBM,ODBM_File,1.16,rd,20000,161549.583605948255668371014773709
ODBM,ODBM_File,1.16,wr,200000,30461.6199580878570996669174165683
ODBM,ODBM_File,1.16,rd,200000,136588.977132956393286105418006661
SDBM,SDBM_File,1.15,wr,20,10427.5286757038581856100104275287
SDBM,SDBM_File,1.15,rd,20,9029.34537246049661399548532731377
SDBM,SDBM_File,1.15,wr,200,52369.7302958889761717727153705158
SDBM,SDBM_File,1.15,rd,200,70696.3591375044185224460940261576
SDBM,SDBM_File,1.15,wr,600,83460.8429545138405897899568785645
SDBM,SDBM_File,1.15,rd,600,140154.16958654519971969166082691
SDBM,SDBM_File,1.15,wr,2000,105691.486550758336416001691063785
SDBM,SDBM_File,1.15,rd,2000,214385.250294779719155322113838568
SDBM,SDBM_File,1.15,wr,20000,111706.88114387846291331546023235
SDBM,SDBM_File,1.15,rd,20000,171754.90574949546996436085705698
SDBM,SDBM_File,1.15,wr,200000,96756.8085347245672309846263106919
SDBM,SDBM_File,1.15,rd,200000,134165.607317392223090571847359789
DB_File,DB_File,1.855,wr,20,12878.3000643915003219575016097875
DB_File,DB_File,1.855,rd,20,9380.86303939962476547842401500938
DB_File,DB_File,1.855,wr,200,79586.1520095503382411460405889375
DB_File,DB_File,1.855,rd,200,64061.4990390775144138372837924407
DB_File,DB_File,1.855,wr,600,157811.678064176749079431877958969
DB_File,DB_File,1.855,rd,600,112909.296198720361309747835905156
DB_File,DB_File,1.855,wr,2000,216192.844016863041833315317262999
DB_File,DB_File,1.855,rd,2000,169376.693766937669376693766937669
DB_File,DB_File,1.855,wr,20000,131368.929934381219497776580860861
DB_File,DB_File,1.855,rd,20000,136303.848539163503281515153580361
DB_File,DB_File,1.855,wr,200000,75887.6483366376080213244291825952
DB_File,DB_File,1.855,rd,200000,112488.343395415650053263230597729
CDB_File,CDB_File,1.05,wr,20,5625.87904360056258790436005625879
CDB_File,CDB_File,1.05,rd,20,2202.40061667217266820834709833719
CDB_File,CDB_File,1.05,wr,200,53662.463107056613898577944727663
CDB_File,CDB_File,1.05,rd,200,23934.8970799425562470081378650072
CDB_File,CDB_File,1.05,wr,600,153767.298821117375704766786263455
CDB_File,CDB_File,1.05,rd,600,110967.264656926206769003144072499
CDB_File,CDB_File,1.05,wr,2000,622665.006226650062266500622665006
CDB_File,CDB_File,1.05,rd,2000,318471.337579617834394904458598726
CDB_File,CDB_File,1.05,wr,20000,790388.871324691748340183370218147
CDB_File,CDB_File,1.05,rd,20000,419841.719671683775216743287780507
CDB_File,CDB_File,1.05,wr,200000,609994.144056217060316220964278743
CDB_File,CDB_File,1.05,rd,200000,385474.548079276695557984045208455
BerkeleyDB,BerkeleyDB::Hash,0.64,wr,20,7927.07094728497820055489496630995
BerkeleyDB,BerkeleyDB::Hash,0.64,rd,20,7624.85703393061380099123141441098
BerkeleyDB,BerkeleyDB::Hash,0.64,wr,200,66777.963272120200333889816360601
BerkeleyDB,BerkeleyDB::Hash,0.64,rd,200,47869.7941598851124940162757300144
