  Size op       GDBM       NDBM       ODBM       SDBM    DB_File   CDB_File   Berkeley      Redis     Redis2     SQLite         Pg      mysql        CSV     Oracle
------ -- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
    20 rd   186915.9   158730.2    38167.9    54945.1    57471.3  1176470.6    37735.8     2130.2     7150.5    35087.7     4579.8     1466.4      820.8       12.8
    20 wr   166666.7    86956.5    25000.0    23837.9    53908.4    98039.2    59523.8     1707.4     7377.4    22371.4     1737.6      287.6      965.9       10.1
   200 rd   130633.6   103896.1    40700.0    69132.4    63959.1   854700.9    40683.5     5173.0     6593.9    28384.9     9298.9     2065.7      109.3          -
   200 wr   152905.2   111358.6    44563.3    38677.2    87680.8   426439.2    48661.8     4278.8     8217.3    27739.3     2847.8     1078.6      202.6          -
   600 rd   136736.6   126023.9    66357.0    83635.3    70696.4   720288.1    50903.5     7234.7     6038.4    45024.8     9782.2      858.9          -          -
   600 wr   155078.8   125130.3    69897.5    48301.4    90702.9   515463.9    56985.5     9216.6     9293.1    31580.6     5297.6      880.0          -          -
  2000 rd   143626.6   137750.5    97304.7   109122.7    78253.4   812347.7    59012.7     7137.5     3944.9    41382.2     9902.9      289.7          -          -
  2000 wr   162443.1   142959.3    95011.9    64861.4    98164.3   538503.0    70962.2     9567.9     7968.0    29611.6     5951.3      462.4          -          -
 20000 rd   182991.0   162599.0   142600.5   140078.6    95103.1   703878.4    71551.7     7200.7     4030.5    38627.9     9736.0       25.6          -          -
 20000 wr   154221.0   142644.2   127980.3   113228.5    91852.7   527885.6    73982.0     9221.7     7484.6    31494.5     5617.8       52.4          -          -

