  Size op     Native       GDBM       NDBM       ODBM       SDBM    DB_File   CDB_File   Berkeley      Redis     Redis2     SQLite         Pg      mysql        CSV     Oracle
------ -- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
    20 rd  1538461.5   198019.8    69204.2   120481.9   118343.2   112359.6     5870.3    33670.0     2681.0     8445.9    24301.3     5299.4     1962.1      922.3       13.5
    20 wr  1428571.4    10000.0     4977.6     7132.7     8009.6    13271.4     5762.0     5748.8     1578.5     5055.6     7336.8     2050.2      330.7      923.0       10.1
   200 rd  2702702.7   107874.9    83612.0   134952.8   126984.1    81699.3    62208.4    39714.1     4399.0     8974.2    39254.2     6762.9     1133.2      173.6          -
   200 wr  2352941.2    40966.8    32883.9    45808.5    39416.6    50037.5    42973.8    28739.8     4709.0    10041.7    23253.1     3220.6      827.4      310.9          -
   600 rd  2564102.6   128369.7    97783.6   146163.2   140449.4    85239.4   158061.1    47487.1     8628.4     8731.1    42206.0     9700.9      778.4          -          -
   600 wr  2362204.7    83079.5    57055.9    90252.7    60416.9    72930.6   136955.0    43387.1     8272.4    10566.7    27189.9     4749.3      705.0          -          -
  2000 rd  2684563.8   152741.7   107020.5   130140.6   126334.4    86258.9   300887.6    57529.1     8747.6     8518.9    44319.4    11954.1      252.5          -          -
  2000 wr  2478314.7   111476.5    82929.1   113205.4    72605.8    92481.3   297353.6    58036.6    10676.7     9254.8    32776.1     6942.5      377.4          -          -
 20000 rd  1044495.5   216129.8   144686.4   141118.4   139843.5    94996.1   589396.8    73721.3     7906.3     7701.9    42048.0    10357.6          -          -          -
 20000 wr   849978.8   141592.9   117982.3   116057.8   100241.1    81400.4   557258.3    68183.5    10320.7     9551.0    34828.3     6060.0          -          -          -
200000 rd   783195.8   194928.0   165518.0   151744.7   141365.1    94102.3   632621.1    77415.2     8474.9     7581.6    37026.0    10458.3          -          -          -
200000 wr   634952.9    81291.7    76701.4    76440.5   100155.6    56343.1   618880.8    50298.0    10557.4     9090.7    29200.8     6197.1          -          -          -
